Project,OGA_Space [MB],AGA_Space[MB],GA_Space[MB],OGA_Space_Reduction %
S1 LastCalc-0.1_(32 TS),0.02 ✔,2.38,1.55,98.71%
S2 lanterna (34 TS),0.01 ✔,2.56,0.13,92.31%
S3 gdx-artemis-master (35 TS),0.02 ✔,0.73,0.45,95.56%
S4 gson-fire (36 TS),0.01 ✔,0.20,0.11,90.91%
S5 restcountries (40 TS),0.01 ✔,0.15,0.03,66.67%
S6 redline-smalltalk-master (43 TS),0.01 ✔,0.75,0.42,97.62%
S7 java-uuid-generator (45 TS),0.01 ✔,0.34,0.07,85.71%
S8 gson-fire-new (47 TS),0.02 ✔,0.26,0.10,80.00%
S9 low-gc-membuffers (51 TS),0.04 ✔,1.16,0.54,92.59%
S10 DiskLruCache (61 TS),0.02 ✔,0.52,0.32,93.75%
S11 JActor (65 TS),0.05 ✔,1.44,0.66,92.42%
S12 nv-websocket-client (73 TS),0.02 ✔,1.26,0.12,83.33%
S13 jackson-datatype-guava ( 73 TS),0.04 ✔,2.12,1.44,97.22%
S14 jackson-datatype-guava-new (80 TS),0.03 ✔,0.53,0.22,86.36%
S15 java-apns (87 TS),0.02 ✔,0.46,0.23,91.30%
S16 ews-java-api (90 TS),0.02 ✔,0.08,0.04,50.00%
S17 scribe-java (99 TS),0.03 ✔,0.32,0.18,83.33%
S18 jasmine-maven-plugin (102 TS),0.03 ✔,0.29,0.15,80.00%
S19 jumblr (103 TS),0.02 ✔,0.29,0.07,71.43%
S20 webbit (131 TS),0.05 ✔,1.15,0.50,90.00%
S21 chukwa (131 TS),0.08 ✔,4.83,1.13,92.92%
S22 stream-lib (141 TS),0.05 ✔,1.44,0.64,92.19%
S23 metrics-core (150 TS),0.04 ✔,0.70,0.37,89.19%
S24 hivemall (150 TS),0.08 ✔,4.33,1.08,92.59%
S25 protoparser (171 TS),0.06 ✔,1.04,0.63,90.48%
S26 spring-retry (185 TS),0.07 ✔,1.35,0.66,89.39%
S27 raml-java-parser-master (192 TS),0.72 ✔,89.81,65.42,98.90%
S28 raml-java-parser (197 TS),0.27 ✔,7.03,4.58,94.10%
S29 asterisk-java (217 TS),0.09 ✔,3.70,2.49,96.39%
S30 asterisk-java-new (217 TS),0.07 ✔,5.41,0.58,87.93%
S31 redline-smalltalk (240 TS),0.06 ✔,0.95,0.25,76.00%
S32 lambdaj-master (265 TS),0.33 ✔,22.75,16.49,98.00%
S33 commons-pool (272 TS),0.17 ✔,3.99,2.28,92.54%
S34 javapoet (332 TS),0.20 ✔,4.82,3.37,94.07%
S35 jackson-core (376 TS),0.45 ✔,12.75,7.45,93.96%
S36 OpenTripPlanner-otp-0.20.0 (379 TS),0.48 ✔,19.61,8.94,94.63%
S37 hbase-1.2.2 (434 TS),0.28 ✔,14.91,4.09,93.15%
S38 streamex (450 TS),0.21 ✔,4.83,2.21,90.50%
S39 rome-1.5.0 (475 TS),1.35 ✔,832.48,609.62,99.78%
S40 joss (531 TS),0.25 ✔,4.48,2.72,90.81%
S41 commons-dbcp (560 TS),0.44 ✔,11.54,7.54,94.16%
S42 la4j (625 TS),0.15 ✔,38.39,28.70,99.48%
S43 jsoup (666 TS),1.00 ✔,28.88,20.49,95.12%
S44 languagetool (719 TS),1.32 ✔,45.30,29.53,95.53%
S45 jopt-simple (727 ST),0.32 ✔,10.86,7.65,95.82%
S46 la4j-new (799 TS),0.52 ✔,10.85,7.19,92.77%
S47 blueflood (961 TS),0.31 ✔,5.06,2.24,86.16%
S48 commons-io (1081 TS),0.32 ✔,4.48,1.81,82.32%
S49 vraptor_archive (1130 TS),0.38 ✔,9.37,6.26,93.93%
S50 RoaringBitmap (1148 TS),0.62 ✔,12.25,7.64,91.88%
S51 jsprit (1250 TS),0.73 ✔,31.20,20.86,96.50%
S52 mapdb-mapdb-1.0.9 (1776 TS),2.09 ✔,75.81,54.68,96.18%
S53 assertj-core (2470 TS),0.67 ✔,7.67,5.03,86.68%
S54 camel-core (5623 TS),20.49 ✔,575.50,407.52,94.97%
