Project Name,FAST-pw,FAST-pw,FAST-all,FAST-all,ART-D,ART-D,ART-F,ART-F,GA,GA,AGA,AGA,OGA,OGA
,Execution Time (s),APFD,Execution Time (s),APFD,Execution Time (s),APFD,Execution Time (s),APFD,Execution Time (s),APFD,Execution Time (s),APFD,Execution Time (s),APFD
S1 LastCalc-0.1_(32 TS),0.0075,0.5790,0.0078,0.6060,0.0044,0.7073,0.0127,0.7389,0.0019,0.7685✓,0.0015,0.7646,0.0010✓,0.7557
S2 lanterna (34 TS),0.0030,0.6209,0.0024,0.6758,0.0016,0.7430,0.0038,0.7043,0.0015,0.8521,0.0012,0.8609✓,0.0004✓,0.8568
S4 gson-fire (36 TS),0.0022,0.7355,0.0017,0.7402,0.0018,0.7717,0.0040,0.7607,0.0010,0.7829,0.0010,0.7736,0.0004✓,0.7839✓
S5 restcountries (40 TS),0.0015,0.6198,0.0010,0.6450,0.0015,0.6537,0.0035,0.6268,0.0010,0.7906,0.0008,0.7941,0.0004✓,0.7950✓
S8 gson-fire-new (47 TS),0.0035,0.7509,0.0023,0.6312,0.0028,0.7650,0.0084,0.7646,0.0016,0.8715,0.0010,0.8727✓,0.0005✓,0.8702
S9 low-gc-membuffers (51 TS),0.0107,0.7644,0.0089,0.7294,0.0157,0.7646,0.0405,0.7318,0.0032,0.8750✓,0.0028,0.8681,0.0010✓,0.8599
S10 DiskLruCache (61 TS),0.0068,0.8296,0.0055,0.8483,0.0071,0.8434,0.0319,0.8118,0.0024,0.8912,0.0020,0.9031✓,0.0008✓,0.8965
S11 JActor (65 TS),0.0163,0.8146,0.0138,0.7310,0.0155,0.7909,0.0789,0.6666,0.0044,0.8162,0.0039,0.8247✓,0.0010✓,0.8228
S12 nv-websocket-client (73 TS),0.0036,0.6198,0.0021,0.6295,0.0041,0.8292,0.0093,0.5114,0.0027,0.9421✓,0.0021,0.9378,0.0007✓,0.9377
S14 jackson-datatype-guava-new (80 TS),0.0044,0.6636,0.0029,0.7232,0.0063,0.7275,0.0201,0.7403,0.0027,0.8700,0.0016,0.8704✓,0.0008✓,0.8698
S20 webbit (131 TS),0.0132,0.6459,0.0093,0.7253,0.0338,0.7308,0.0761,0.7610,0.0068,0.8244✓,0.0034,0.8222,0.0017✓,0.8222
S22 stream-lib (141 TS),0.0126,0.6834,0.0082,0.6548,0.0384,0.6691,0.0868,0.6392,0.0076,0.8070✓,0.0032,0.7934,0.0016✓,0.7951
S24 hivemall (150 TS),0.0199,0.6843,0.0138,0.6839,0.0568,0.6728,0.0976,0.6801,0.0115,0.8392✓,0.0038,0.8333,0.0029✓,0.8326
S25 protoparser (171 TS),0.0184,0.6248,0.0126,0.7290,0.0606,0.7790,0.1666,0.8110,0.0106,0.9197✓,0.0045,0.9169,0.0022✓,0.9136
S26 spring-retry (185 TS),0.0218,0.5604,0.0147,0.7748,0.0696,0.7606,0.1605,0.7614,0.0119,0.9267✓,0.0051,0.9147,0.0022✓,0.9136
S28 raml-java-parser (197 TS),0.0965,0.7607,0.0846,0.7294,0.6140,0.8396,1.2963,0.8229,0.0500,0.9559✓,0.0167,0.9544,0.0036✓,0.9504
S29 asterisk-java (217 TS),0.0188,0.6853,0.0081,0.6585,0.0726,0.7045,0.1303,0.6688,0.0127,0.8190✓,0.0040,0.8184,0.0026✓,0.8155
S30 asterisk-java-new (217 TS),0.0193,0.6687,0.0083,0.6311,0.1045,0.6764,0.1301,0.7021,0.0129,0.8373,0.0040,0.8392✓,0.0025✓,0.8387
S34 javapoet (332 TS),0.0752,0.8064,0.0500,0.8081,0.5549,0.8167,1.0805,0.7905,0.0520,0.8252,0.0133,0.8286,0.0050✓,0.8304✓
S35 jackson-core (376 TS),0.1333,0.6114,0.1032,0.6593,2.7750,0.7148,3.0164,0.7085,0.1468,0.8589✓,0.0195,0.8543,0.0090✓,0.8522
S38 streamex (450 TS),0.0908,0.5979,0.0513,0.6481,1.8981,0.6578,1.8192,0.6707,0.0990,0.8365✓,0.0128,0.8289,0.0074✓,0.8287
S40 joss (531 TS),0.1203,0.6016,0.0731,0.7686,1.9845,0.7641,2.2522,0.7426,0.1444,0.9094✓,0.0205,0.9088,0.0093✓,0.9062
S41 commons-dbcp (560 TS),0.1806,0.7596,0.1332,0.8314,2.7530,0.7461,6.5307,0.6750,0.1935,0.9046,0.0289,0.9370✓,0.0091✓,0.9192
S43 jsoup (666 TS),0.4955,0.8019,0.3500,0.8103,9.6309,0.8310,19.8806,0.8161,0.5799,0.8992,0.0748,0.9151✓,0.0278✓,0.9089
S44languagetool (719 TS),0.4875,0.5176,0.3934,0.5956,10.9780,0.6762,13.8788,0.6280,0.6630,0.8289✓,0.0813,0.8233,0.0159✓,0.8074
S46 la4j-new (799 TS),0.3256,0.7361,0.1585,0.7124,4.7617,0.8772,9.7478,0.8447,0.3392,0.9204✓,0.0413,0.8867,0.0132✓,0.9054
S47 blueflood (961 TS),0.2506,0.7471,0.0470,0.6870,2.4284,0.7237,2.7581,0.6994,0.2198,0.8802,0.0304,0.8815✓,0.0154✓,0.8704
S48commons-io (1081 TS),0.2547,0.6668,0.0352,0.6654,3.1474,0.7352,3.0260,0.7034,0.2561,0.8338✓,0.0348,0.8332,0.0220✓,0.8305
S51 jsprit (1250 TS),0.6697,0.6638,0.3950,0.8389,15.2619,0.8280,22.7008,0.8086,0.8206,0.8913,0.0951,0.9072✓,0.0190✓,0.8985
